source	destinations_disconnected_to
ACE	VWA7
KAPCA	VWA7
NTKL	VWA7
CALM	VWA7
ACHA4	VWA7
ANXA2	VWA7
AURKB	VWA7
GNAT3	VWA7
CA2D1	VWA7
CAH4	VWA7
AK1C1	VWA7
ROCK1	VWA7
CHLE	VWA7
J3QK85	VWA7
ZAP70	VWA7
UD14	VWA7
S12A2	VWA7
EST1A	VWA7
VKOR1	VWA7
XDH	VWA7
ACHB4	VWA7
RLP24	VWA7
EDN1	VWA7
GBRB3	VWA7
TKT	VWA7
NEU2	VWA7
3HAO	VWA7
RL10L	VWA7
ADA1D	VWA7
CANB2	VWA7
KAP3	VWA7
PANX1	VWA7
ST2A1	VWA7
UPP2	VWA7
AK1D1	VWA7
CAC1A	VWA7
CUBN	VWA7
THA	VWA7
TBB5	VWA7
CATA	VWA7
RL3	VWA7
PA2GE	VWA7
HRH2	VWA7
ATTY	VWA7
S29A2	VWA7
GBRT	VWA7
ACHA3	VWA7
CDK6	VWA7
5HT7R	VWA7
ADRB1	VWA7
CP11A	VWA7
CSK	VWA7
5HT3A	VWA7
AT12A	VWA7
IOD3	VWA7
PGFRA	VWA7
A1AG1	VWA7
TNFA	VWA7
NFAC2	VWA7
NOS2	VWA7
5HT2B	VWA7
HS90A	VWA7
LCK	VWA7
ADCYA	VWA7
HS90B	VWA7
ADA2A	VWA7
CACP	VWA7
RARA	VWA7
PYC	VWA7
CATL1	VWA7
ACHA9	VWA7
NH2L1	VWA7
AAKB2	VWA7
DCXR	VWA7
CXCL7	VWA7
KCNE1	VWA7
B3GT4	VWA7
ACES	VWA7
SCNNG	VWA7
HASP	VWA7
MMP3	VWA7
MET	VWA7
AA2BR	VWA7
PDE8A	VWA7
5HT2C	VWA7
AK1C3	VWA7
OSTCN	VWA7
NMD3B	VWA7
CDK5	VWA7
PPARA	VWA7
DRD2	VWA7
VGFR2	VWA7
CP1A2	VWA7
NGF	VWA7
GBRA6	VWA7
ACHA7	VWA7
CP2C9	VWA7
TBA1A	VWA7
IL2RA	VWA7
PPB1	VWA7
PD2R	VWA7
Q71TU5	VWA7
DCE1	VWA7
GBRG1	VWA7
FGFR2	VWA7
IMPA1	VWA7
ACM2	VWA7
IL8	VWA7
5HT6R	VWA7
