source	destinations_disconnected_to
ACE	PRRC1	TTC23
KAPCA	PRRC1	TTC23
NTKL	PRRC1	TTC23
CALM	PRRC1	TTC23
ACHA4	PRRC1	TTC23
ANXA2	PRRC1	TTC23
AURKB	PRRC1	TTC23
GNAT3	PRRC1	TTC23
CA2D1	PRRC1	TTC23
CAH4	PRRC1	TTC23
AK1C1	PRRC1	TTC23
ROCK1	PRRC1	TTC23
CHLE	PRRC1	TTC23
J3QK85	PRRC1	TTC23
ZAP70	PRRC1	TTC23
UD14	PRRC1	TTC23
S12A2	PRRC1	TTC23
EST1A	PRRC1	TTC23
VKOR1	PRRC1	TTC23
XDH	PRRC1	TTC23
ACHB4	PRRC1	TTC23
RLP24	PRRC1	TTC23
EDN1	PRRC1	TTC23
GBRB3	PRRC1	TTC23
TKT	PRRC1	TTC23
NEU2	PRRC1	TTC23
3HAO	PRRC1	TTC23
RL10L	PRRC1	TTC23
ADA1D	PRRC1	TTC23
CANB2	PRRC1	TTC23
KAP3	PRRC1	TTC23
PANX1	PRRC1	TTC23
ST2A1	PRRC1	TTC23
UPP2	PRRC1	TTC23
AK1D1	PRRC1	TTC23
CAC1A	PRRC1	TTC23
CUBN	PRRC1	TTC23
THA	PRRC1	TTC23
TBB5	PRRC1	TTC23
CATA	PRRC1	TTC23
RL3	PRRC1	TTC23
PA2GE	PRRC1	TTC23
HRH2	PRRC1	TTC23
ATTY	PRRC1	TTC23
S29A2	PRRC1	TTC23
GBRT	PRRC1	TTC23
ACHA3	PRRC1	TTC23
CDK6	PRRC1	TTC23
5HT7R	PRRC1	TTC23
ADRB1	PRRC1	TTC23
CP11A	PRRC1	TTC23
CSK	PRRC1	TTC23
5HT3A	PRRC1	TTC23
AT12A	PRRC1	TTC23
IOD3	PRRC1	TTC23
PGFRA	PRRC1	TTC23
A1AG1	PRRC1	TTC23
TNFA	PRRC1	TTC23
NFAC2	PRRC1	TTC23
NOS2	PRRC1	TTC23
5HT2B	PRRC1	TTC23
HS90A	PRRC1	TTC23
LCK	PRRC1	TTC23
ADCYA	PRRC1	TTC23
HS90B	PRRC1	TTC23
ADA2A	PRRC1	TTC23
CACP	PRRC1	TTC23
RARA	PRRC1	TTC23
PYC	PRRC1	TTC23
CATL1	PRRC1	TTC23
ACHA9	PRRC1	TTC23
NH2L1	PRRC1	TTC23
AAKB2	PRRC1	TTC23
DCXR	PRRC1	TTC23
CXCL7	PRRC1	TTC23
KCNE1	PRRC1	TTC23
B3GT4	PRRC1	TTC23
ACES	PRRC1	TTC23
SCNNG	PRRC1	TTC23
HASP	PRRC1	TTC23
MMP3	PRRC1	TTC23
MET	PRRC1	TTC23
AA2BR	PRRC1	TTC23
PDE8A	PRRC1	TTC23
5HT2C	PRRC1	TTC23
AK1C3	PRRC1	TTC23
OSTCN	PRRC1	TTC23
NMD3B	PRRC1	TTC23
CDK5	PRRC1	TTC23
PPARA	PRRC1	TTC23
DRD2	PRRC1	TTC23
VGFR2	PRRC1	TTC23
CP1A2	PRRC1	TTC23
NGF	PRRC1	TTC23
GBRA6	PRRC1	TTC23
ACHA7	PRRC1	TTC23
CP2C9	PRRC1	TTC23
TBA1A	PRRC1	TTC23
IL2RA	PRRC1	TTC23
PPB1	PRRC1	TTC23
PD2R	PRRC1	TTC23
Q71TU5	PRRC1	TTC23
DCE1	PRRC1	TTC23
GBRG1	PRRC1	TTC23
FGFR2	PRRC1	TTC23
IMPA1	PRRC1	TTC23
ACM2	PRRC1	TTC23
IL8	PRRC1	TTC23
5HT6R	PRRC1	TTC23
KPCT	PRRC1	TTC23
AOC1	PRRC1	TTC23
PCNA	PRRC1	TTC23
KSYK	PRRC1	TTC23
CAH9	PRRC1	TTC23
RL11	PRRC1	TTC23
CACB3	PRRC1	TTC23
HMDH	PRRC1	TTC23
GBRA4	PRRC1	TTC23
KIT	PRRC1	TTC23
AOFA	PRRC1	TTC23
NEP	PRRC1	TTC23
GLYC	PRRC1	TTC23
NCOA2	PRRC1	TTC23
5HT1E	PRRC1	TTC23
TBA4A	PRRC1	TTC23
METH	PRRC1	TTC23
LDHA	PRRC1	TTC23
MK08	PRRC1	TTC23
IGHG4	PRRC1	TTC23
CP2CJ	PRRC1	TTC23
RXRA	PRRC1	TTC23
PA2GA	PRRC1	TTC23
CP131	PRRC1	TTC23
ACACB	PRRC1	TTC23
PTHY	PRRC1	TTC23
IL10	PRRC1	TTC23
CAH2	PRRC1	TTC23
OPRD	PRRC1	TTC23
AAPK1	PRRC1	TTC23
PDPK1	PRRC1	TTC23
ADRB3	PRRC1	TTC23
C11B1	PRRC1	TTC23
GBRP	PRRC1	TTC23
ROCK2	PRRC1	TTC23
RL8	PRRC1	TTC23
ADCY2	PRRC1	TTC23
PHOP2	PRRC1	TTC23
CAH12	PRRC1	TTC23
S10A4	PRRC1	TTC23
GRIK1	PRRC1	TTC23
CBG	PRRC1	TTC23
PRGR	PRRC1	TTC23
HCAR2	PRRC1	TTC23
DNMT1	PRRC1	TTC23
PGH2	PRRC1	TTC23
CAC1F	PRRC1	TTC23
ADA2C	PRRC1	TTC23
S15A1	PRRC1	TTC23
ADA1A	PRRC1	TTC23
A1AG2	PRRC1	TTC23
OX1R	PRRC1	TTC23
KCMA1	PRRC1	TTC23
NMDE3	PRRC1	TTC23
HIBCH	PRRC1	TTC23
IPKA	PRRC1	TTC23
S22AI	PRRC1	TTC23
S29A1	PRRC1	TTC23
HDAC1	PRRC1	TTC23
PNPH	PRRC1	TTC23
ADA2B	PRRC1	TTC23
TRFL	PRRC1	TTC23
ALBU	PRRC1	TTC23
FMO3	PRRC1	TTC23
PLK1	PRRC1	TTC23
SGMR1	PRRC1	TTC23
GUAA	PRRC1	TTC23
QOR	PRRC1	TTC23
GCR	PRRC1	TTC23
CATD	PRRC1	TTC23
MIF	PRRC1	TTC23
HPGDS	PRRC1	TTC23
MKNK1	PRRC1	TTC23
P2RY2	PRRC1	TTC23
S12A4	PRRC1	TTC23
EGFR	PRRC1	TTC23
