source	destinations_disconnected_to
ACE	CEMP1	COQ4
KAPCA	CEMP1	COQ4
NTKL	CEMP1	COQ4
CALM	CEMP1	COQ4
ACHA4	CEMP1	COQ4
ANXA2	CEMP1	COQ4
AURKB	CEMP1	COQ4
GNAT3	CEMP1	COQ4
CA2D1	CEMP1	COQ4
CAH4	CEMP1	COQ4
AK1C1	CEMP1	COQ4
ROCK1	CEMP1	COQ4
CHLE	CEMP1	COQ4
J3QK85	CEMP1	COQ4
ZAP70	CEMP1	COQ4
UD14	CEMP1	COQ4
S12A2	CEMP1	COQ4
EST1A	CEMP1	COQ4
VKOR1	CEMP1	COQ4
XDH	CEMP1	COQ4
ACHB4	CEMP1	COQ4
RLP24	CEMP1	COQ4
EDN1	CEMP1	COQ4
GBRB3	CEMP1	COQ4
TKT	CEMP1	COQ4
NEU2	CEMP1	COQ4
3HAO	CEMP1	COQ4
RL10L	CEMP1	COQ4
ADA1D	CEMP1	COQ4
CANB2	CEMP1	COQ4
KAP3	CEMP1	COQ4
PANX1	CEMP1	COQ4
ST2A1	CEMP1	COQ4
UPP2	CEMP1	COQ4
AK1D1	CEMP1	COQ4
CAC1A	CEMP1	COQ4
CUBN	CEMP1	COQ4
THA	CEMP1	COQ4
TBB5	CEMP1	COQ4
CATA	CEMP1	COQ4
RL3	CEMP1	COQ4
PA2GE	CEMP1	COQ4
HRH2	CEMP1	COQ4
ATTY	CEMP1	COQ4
S29A2	CEMP1	COQ4
GBRT	CEMP1	COQ4
ACHA3	CEMP1	COQ4
CDK6	CEMP1	COQ4
5HT7R	CEMP1	COQ4
ADRB1	CEMP1	COQ4
CP11A	CEMP1	COQ4
CSK	CEMP1	COQ4
5HT3A	CEMP1	COQ4
AT12A	CEMP1	COQ4
IOD3	CEMP1	COQ4
PGFRA	CEMP1	COQ4
A1AG1	CEMP1	COQ4
TNFA	CEMP1	COQ4
NFAC2	CEMP1	COQ4
NOS2	CEMP1	COQ4
5HT2B	CEMP1	COQ4
HS90A	CEMP1	COQ4
LCK	CEMP1	COQ4
ADCYA	CEMP1	COQ4
HS90B	CEMP1	COQ4
ADA2A	CEMP1	COQ4
CACP	CEMP1	COQ4
RARA	CEMP1	COQ4
PYC	CEMP1	COQ4
CATL1	CEMP1	COQ4
ACHA9	CEMP1	COQ4
NH2L1	CEMP1	COQ4
AAKB2	CEMP1	COQ4
DCXR	CEMP1	COQ4
CXCL7	CEMP1	COQ4
KCNE1	CEMP1	COQ4
B3GT4	CEMP1	COQ4
ACES	CEMP1	COQ4
SCNNG	CEMP1	COQ4
HASP	CEMP1	COQ4
MMP3	CEMP1	COQ4
MET	CEMP1	COQ4
AA2BR	CEMP1	COQ4
PDE8A	CEMP1	COQ4
5HT2C	CEMP1	COQ4
AK1C3	CEMP1	COQ4
OSTCN	CEMP1	COQ4
NMD3B	CEMP1	COQ4
CDK5	CEMP1	COQ4
PPARA	CEMP1	COQ4
DRD2	CEMP1	COQ4
VGFR2	CEMP1	COQ4
CP1A2	CEMP1	COQ4
NGF	CEMP1	COQ4
GBRA6	CEMP1	COQ4
ACHA7	CEMP1	COQ4
CP2C9	CEMP1	COQ4
TBA1A	CEMP1	COQ4
IL2RA	CEMP1	COQ4
PPB1	CEMP1	COQ4
PD2R	CEMP1	COQ4
Q71TU5	CEMP1	COQ4
DCE1	CEMP1	COQ4
GBRG1	CEMP1	COQ4
FGFR2	CEMP1	COQ4
IMPA1	CEMP1	COQ4
ACM2	CEMP1	COQ4
IL8	CEMP1	COQ4
5HT6R	CEMP1	COQ4
KPCT	CEMP1	COQ4
AOC1	CEMP1	COQ4
PCNA	CEMP1	COQ4
KSYK	CEMP1	COQ4
CAH9	CEMP1	COQ4
RL11	CEMP1	COQ4
CACB3	CEMP1	COQ4
HMDH	CEMP1	COQ4
GBRA4	CEMP1	COQ4
KIT	CEMP1	COQ4
AOFA	CEMP1	COQ4
NEP	CEMP1	COQ4
GLYC	CEMP1	COQ4
NCOA2	CEMP1	COQ4
5HT1E	CEMP1	COQ4
TBA4A	CEMP1	COQ4
METH	CEMP1	COQ4
LDHA	CEMP1	COQ4
MK08	CEMP1	COQ4
IGHG4	CEMP1	COQ4
CP2CJ	CEMP1	COQ4
RXRA	CEMP1	COQ4
PA2GA	CEMP1	COQ4
CP131	CEMP1	COQ4
ACACB	CEMP1	COQ4
PTHY	CEMP1	COQ4
IL10	CEMP1	COQ4
CAH2	CEMP1	COQ4
OPRD	CEMP1	COQ4
AAPK1	CEMP1	COQ4
PDPK1	CEMP1	COQ4
ADRB3	CEMP1	COQ4
C11B1	CEMP1	COQ4
GBRP	CEMP1	COQ4
ROCK2	CEMP1	COQ4
RL8	CEMP1	COQ4
ADCY2	CEMP1	COQ4
PHOP2	CEMP1	COQ4
CAH12	CEMP1	COQ4
S10A4	CEMP1	COQ4
GRIK1	CEMP1	COQ4
CBG	CEMP1	COQ4
PRGR	CEMP1	COQ4
HCAR2	CEMP1	COQ4
DNMT1	CEMP1	COQ4
PGH2	CEMP1	COQ4
CAC1F	CEMP1	COQ4
ADA2C	CEMP1	COQ4
S15A1	CEMP1	COQ4
ADA1A	CEMP1	COQ4
A1AG2	CEMP1	COQ4
OX1R	CEMP1	COQ4
KCMA1	CEMP1	COQ4
NMDE3	CEMP1	COQ4
HIBCH	CEMP1	COQ4
IPKA	CEMP1	COQ4
S22AI	CEMP1	COQ4
S29A1	CEMP1	COQ4
HDAC1	CEMP1	COQ4
PNPH	CEMP1	COQ4
ADA2B	CEMP1	COQ4
TRFL	CEMP1	COQ4
ALBU	CEMP1	COQ4
FMO3	CEMP1	COQ4
PLK1	CEMP1	COQ4
SGMR1	CEMP1	COQ4
GUAA	CEMP1	COQ4
QOR	CEMP1	COQ4
GCR	CEMP1	COQ4
CATD	CEMP1	COQ4
MIF	CEMP1	COQ4
HPGDS	CEMP1	COQ4
MKNK1	CEMP1	COQ4
P2RY2	CEMP1	COQ4
S12A4	CEMP1	COQ4
EGFR	CEMP1	COQ4
NFKB1	CEMP1	COQ4
PGFRB	CEMP1	COQ4
ANT3	CEMP1	COQ4
GTR1	CEMP1	COQ4
MK10	CEMP1	COQ4
CAMLG	CEMP1	COQ4
HEMH	CEMP1	COQ4
MTRR	CEMP1	COQ4
NQO1	CEMP1	COQ4
ACH10	CEMP1	COQ4
FMO4	CEMP1	COQ4
DRD5	CEMP1	COQ4
TRY1	CEMP1	COQ4
SCNAA	CEMP1	COQ4
GBRG3	CEMP1	COQ4
PDE8B	CEMP1	COQ4
KCNA2	CEMP1	COQ4
IFNA2	CEMP1	COQ4
AA1R	CEMP1	COQ4
MAPK2	CEMP1	COQ4
PK3CD	CEMP1	COQ4
HRH4	CEMP1	COQ4
GBRB1	CEMP1	COQ4
HCN2	CEMP1	COQ4
RL26L	CEMP1	COQ4
DMTA2	CEMP1	COQ4
6PGD	CEMP1	COQ4
GRP78	CEMP1	COQ4
PSIP1	CEMP1	COQ4
AT1A4	CEMP1	COQ4
GLR	CEMP1	COQ4
OPRK	CEMP1	COQ4
ATPB	CEMP1	COQ4
STMN4	CEMP1	COQ4
CACB2	CEMP1	COQ4
NMDZ1	CEMP1	COQ4
SC6A3	CEMP1	COQ4
ST2B1	CEMP1	COQ4
TBG1	CEMP1	COQ4
ESR1	CEMP1	COQ4
CREB1	CEMP1	COQ4
5HT1B	CEMP1	COQ4
ERBB2	CEMP1	COQ4
HDAC7	CEMP1	COQ4
KCC1B	CEMP1	COQ4
TBD	CEMP1	COQ4
TOP2B	CEMP1	COQ4
3BHS1	CEMP1	COQ4
ATP4A	CEMP1	COQ4
LOX5	CEMP1	COQ4
UD3A1	CEMP1	COQ4
BDNF	CEMP1	COQ4
GBRA1	CEMP1	COQ4
FOS	CEMP1	COQ4
SHBG	CEMP1	COQ4
ODP2	CEMP1	COQ4
ABCA1	CEMP1	COQ4
DYR	CEMP1	COQ4
P85A	CEMP1	COQ4
SIR1	CEMP1	COQ4
MTHR	CEMP1	COQ4
ADCL2	CEMP1	COQ4
IBP3	CEMP1	COQ4
DDR1	CEMP1	COQ4
CP46A	CEMP1	COQ4
SCN2A	CEMP1	COQ4
IL4	CEMP1	COQ4
NPS	CEMP1	COQ4
NMDE1	CEMP1	COQ4
AOFB	CEMP1	COQ4
RL13A	CEMP1	COQ4
S22A2	CEMP1	COQ4
CALY	CEMP1	COQ4
S12A5	CEMP1	COQ4
PK3CA	CEMP1	COQ4
PDE4D	CEMP1	COQ4
KIF11	CEMP1	COQ4
NR1I2	CEMP1	COQ4
NISCH	CEMP1	COQ4
NFKB2	CEMP1	COQ4
ITK	CEMP1	COQ4
PPIA	CEMP1	COQ4
MMAA	CEMP1	COQ4
PA24A	CEMP1	COQ4
HYES	CEMP1	COQ4
CP2C8	CEMP1	COQ4
CAC1D	CEMP1	COQ4
SCNNA	CEMP1	COQ4
DRD3	CEMP1	COQ4
IOD1	CEMP1	COQ4
AAKB1	CEMP1	COQ4
ARY2	CEMP1	COQ4
DOPO	CEMP1	COQ4
PDE3A	CEMP1	COQ4
TR10B	CEMP1	COQ4
ADA1B	CEMP1	COQ4
C9JK77	CEMP1	COQ4
MYLK3	CEMP1	COQ4
PDE1B	CEMP1	COQ4
MYH9	CEMP1	COQ4
TRI15	CEMP1	COQ4
HPRT	CEMP1	COQ4
ADRB2	CEMP1	COQ4
LIPL	CEMP1	COQ4
MDR1	CEMP1	COQ4
5HT1A	CEMP1	COQ4
CP19A	CEMP1	COQ4
ARY1	CEMP1	COQ4
5HT2A	CEMP1	COQ4
G6PD	CEMP1	COQ4
PYRD	CEMP1	COQ4
GBRB2	CEMP1	COQ4
IKBA	CEMP1	COQ4
THRB	CEMP1	COQ4
GPX1	CEMP1	COQ4
TNNC2	CEMP1	COQ4
S22AB	CEMP1	COQ4
PDE5A	CEMP1	COQ4
TGFB1	CEMP1	COQ4
TOP2A	CEMP1	COQ4
RL23	CEMP1	COQ4
PDK3	CEMP1	COQ4
EDNRA	CEMP1	COQ4
TF65	CEMP1	COQ4
KAP0	CEMP1	COQ4
PPIF	CEMP1	COQ4
RL15	CEMP1	COQ4
KCNH2	CEMP1	COQ4
PDE4C	CEMP1	COQ4
ABCC8	CEMP1	COQ4
J3KPA4	CEMP1	COQ4
HDAC8	CEMP1	COQ4
GBRD	CEMP1	COQ4
CCKN	CEMP1	COQ4
ADCY5	CEMP1	COQ4
ATPA	CEMP1	COQ4
ATPG	CEMP1	COQ4
CAC1G	CEMP1	COQ4
LDHB	CEMP1	COQ4
JUN	CEMP1	COQ4
CSF1R	CEMP1	COQ4
UD19	CEMP1	COQ4
ATF6A	CEMP1	COQ4
RL19	CEMP1	COQ4
ST17B	CEMP1	COQ4
ABL1	CEMP1	COQ4
PHOP1	CEMP1	COQ4
SC6A4	CEMP1	COQ4
S22A6	CEMP1	COQ4
GRIK2	CEMP1	COQ4
ACM3	CEMP1	COQ4
RYR1	CEMP1	COQ4
S23IP	CEMP1	COQ4
CRBN	CEMP1	COQ4
MUTA	CEMP1	COQ4
ARGI1	CEMP1	COQ4
AA3R	CEMP1	COQ4
GBRA5	CEMP1	COQ4
CAH6	CEMP1	COQ4
FAK1	CEMP1	COQ4
SCNND	CEMP1	COQ4
CASP8	CEMP1	COQ4
SYRC	CEMP1	COQ4
CP3A4	CEMP1	COQ4
A4	CEMP1	COQ4
MRP1	CEMP1	COQ4
KCNN4	CEMP1	COQ4
PDE7A	CEMP1	COQ4
SCN4A	CEMP1	COQ4
CACB1	CEMP1	COQ4
DHI1	CEMP1	COQ4
PDIA1	CEMP1	COQ4
LRP2	CEMP1	COQ4
ESR2	CEMP1	COQ4
SCNNB	CEMP1	COQ4
NMDE4	CEMP1	COQ4
TY3H	CEMP1	COQ4
SOAT1	CEMP1	COQ4
NMD3A	CEMP1	COQ4
ASM	CEMP1	COQ4
S12A1	CEMP1	COQ4
CP1A1	CEMP1	COQ4
INSR2	CEMP1	COQ4
NCOA1	CEMP1	COQ4
TBE	CEMP1	COQ4
ITAL	CEMP1	COQ4
PPARG	CEMP1	COQ4
GSK3B	CEMP1	COQ4
CAC1I	CEMP1	COQ4
THB	CEMP1	COQ4
KLK3	CEMP1	COQ4
GBRA2	CEMP1	COQ4
TBB4B	CEMP1	COQ4
DRD4	CEMP1	COQ4
CLIC1	CEMP1	COQ4
GBRE	CEMP1	COQ4
RHOA	CEMP1	COQ4
TERT	CEMP1	COQ4
RL23A	CEMP1	COQ4
KITH	CEMP1	COQ4
HIF1A	CEMP1	COQ4
TEBP	CEMP1	COQ4
PERM	CEMP1	COQ4
TYSY	CEMP1	COQ4
PAR10	CEMP1	COQ4
NNMT	CEMP1	COQ4
RARB	CEMP1	COQ4
PK3CG	CEMP1	COQ4
CAC1C	CEMP1	COQ4
PLPL9	CEMP1	COQ4
OPRM	CEMP1	COQ4
PLMN	CEMP1	COQ4
ADA	CEMP1	COQ4
TNNC1	CEMP1	COQ4
J3KN87	CEMP1	COQ4
GBRG2	CEMP1	COQ4
FAD1	CEMP1	COQ4
PDE1A	CEMP1	COQ4
GLUC	CEMP1	COQ4
EST1	CEMP1	COQ4
P2RX2	CEMP1	COQ4
NOS3	CEMP1	COQ4
GSTP1	CEMP1	COQ4
CAH7	CEMP1	COQ4
IL6	CEMP1	COQ4
UD13	CEMP1	COQ4
PDE4A	CEMP1	COQ4
CBPB2	CEMP1	COQ4
KCJ11	CEMP1	COQ4
SCN5A	CEMP1	COQ4
CP21A	CEMP1	COQ4
CFTR	CEMP1	COQ4
ACM1	CEMP1	COQ4
GRIA2	CEMP1	COQ4
CPT2	CEMP1	COQ4
COMT	CEMP1	COQ4
P53	CEMP1	COQ4
CNGA1	CEMP1	COQ4
HDAC9	CEMP1	COQ4
KCNQ1	CEMP1	COQ4
PGH1	CEMP1	COQ4
CP2R1	CEMP1	COQ4
CAC1H	CEMP1	COQ4
CAB45	CEMP1	COQ4
CDK2	CEMP1	COQ4
SC6A2	CEMP1	COQ4
AK1C2	CEMP1	COQ4
CA2D2	CEMP1	COQ4
S22A8	CEMP1	COQ4
EBP	CEMP1	COQ4
NADC	CEMP1	COQ4
5HT5A	CEMP1	COQ4
AHR	CEMP1	COQ4
HDAC6	CEMP1	COQ4
MRP2	CEMP1	COQ4
PDE4B	CEMP1	COQ4
AA2AR	CEMP1	COQ4
PDE7B	CEMP1	COQ4
FAK2	CEMP1	COQ4
CASP3	CEMP1	COQ4
CATB	CEMP1	COQ4
CAC1S	CEMP1	COQ4
TA2R	CEMP1	COQ4
TPMT	CEMP1	COQ4
5HT1D	CEMP1	COQ4
PIM1	CEMP1	COQ4
AT1A1	CEMP1	COQ4
MMP9	CEMP1	COQ4
RL37	CEMP1	COQ4
PARP1	CEMP1	COQ4
RENR	CEMP1	COQ4
ENPL	CEMP1	COQ4
NR1I3	CEMP1	COQ4
CAH1	CEMP1	COQ4
SL9A7	CEMP1	COQ4
ACM4	CEMP1	COQ4
TOP1	CEMP1	COQ4
DHB8	CEMP1	COQ4
FABP6	CEMP1	COQ4
GABR1	CEMP1	COQ4
LY66C	CEMP1	COQ4
GLNA	CEMP1	COQ4
SCN1A	CEMP1	COQ4
HDAC3	CEMP1	COQ4
RENI	CEMP1	COQ4
