source	destinations_disconnected_to
ACE	ULK4	RAB36
KAPCA	ULK4	RAB36
NTKL	ULK4	RAB36
CALM	ULK4	RAB36
ACHA4	ULK4	RAB36
ANXA2	ULK4	RAB36
AURKB	ULK4	RAB36
GNAT3	ULK4	RAB36
CA2D1	ULK4	RAB36
CAH4	ULK4	RAB36
AK1C1	ULK4	RAB36
ROCK1	ULK4	RAB36
CHLE	ULK4	RAB36
J3QK85	ULK4	RAB36
ZAP70	ULK4	RAB36
UD14	ULK4	RAB36
S12A2	ULK4	RAB36
EST1A	ULK4	RAB36
VKOR1	ULK4	RAB36
XDH	ULK4	RAB36
ACHB4	ULK4	RAB36
RLP24	ULK4	RAB36
EDN1	ULK4	RAB36
GBRB3	ULK4	RAB36
TKT	ULK4	RAB36
NEU2	ULK4	RAB36
3HAO	ULK4	RAB36
RL10L	ULK4	RAB36
ADA1D	ULK4	RAB36
CANB2	ULK4	RAB36
KAP3	ULK4	RAB36
PANX1	ULK4	RAB36
ST2A1	ULK4	RAB36
UPP2	ULK4	RAB36
AK1D1	ULK4	RAB36
CAC1A	ULK4	RAB36
CUBN	ULK4	RAB36
THA	ULK4	RAB36
TBB5	ULK4	RAB36
CATA	ULK4	RAB36
RL3	ULK4	RAB36
PA2GE	ULK4	RAB36
HRH2	ULK4	RAB36
ATTY	ULK4	RAB36
S29A2	ULK4	RAB36
GBRT	ULK4	RAB36
ACHA3	ULK4	RAB36
CDK6	ULK4	RAB36
5HT7R	ULK4	RAB36
ADRB1	ULK4	RAB36
CP11A	ULK4	RAB36
CSK	ULK4	RAB36
5HT3A	ULK4	RAB36
AT12A	ULK4	RAB36
IOD3	ULK4	RAB36
PGFRA	ULK4	RAB36
A1AG1	ULK4	RAB36
TNFA	ULK4	RAB36
NFAC2	ULK4	RAB36
NOS2	ULK4	RAB36
5HT2B	ULK4	RAB36
HS90A	ULK4	RAB36
LCK	ULK4	RAB36
ADCYA	ULK4	RAB36
HS90B	ULK4	RAB36
ADA2A	ULK4	RAB36
CACP	ULK4	RAB36
RARA	ULK4	RAB36
PYC	ULK4	RAB36
CATL1	ULK4	RAB36
ACHA9	ULK4	RAB36
NH2L1	ULK4	RAB36
AAKB2	ULK4	RAB36
DCXR	ULK4	RAB36
CXCL7	ULK4	RAB36
KCNE1	ULK4	RAB36
B3GT4	ULK4	RAB36
ACES	ULK4	RAB36
SCNNG	ULK4	RAB36
HASP	ULK4	RAB36
MMP3	ULK4	RAB36
MET	ULK4	RAB36
AA2BR	ULK4	RAB36
PDE8A	ULK4	RAB36
5HT2C	ULK4	RAB36
AK1C3	ULK4	RAB36
OSTCN	ULK4	RAB36
NMD3B	ULK4	RAB36
CDK5	ULK4	RAB36
PPARA	ULK4	RAB36
DRD2	ULK4	RAB36
VGFR2	ULK4	RAB36
CP1A2	ULK4	RAB36
NGF	ULK4	RAB36
GBRA6	ULK4	RAB36
ACHA7	ULK4	RAB36
CP2C9	ULK4	RAB36
TBA1A	ULK4	RAB36
IL2RA	ULK4	RAB36
PPB1	ULK4	RAB36
PD2R	ULK4	RAB36
Q71TU5	ULK4	RAB36
DCE1	ULK4	RAB36
GBRG1	ULK4	RAB36
FGFR2	ULK4	RAB36
IMPA1	ULK4	RAB36
ACM2	ULK4	RAB36
IL8	ULK4	RAB36
5HT6R	ULK4	RAB36
KPCT	ULK4	RAB36
AOC1	ULK4	RAB36
PCNA	ULK4	RAB36
KSYK	ULK4	RAB36
CAH9	ULK4	RAB36
RL11	ULK4	RAB36
CACB3	ULK4	RAB36
HMDH	ULK4	RAB36
GBRA4	ULK4	RAB36
KIT	ULK4	RAB36
AOFA	ULK4	RAB36
NEP	ULK4	RAB36
GLYC	ULK4	RAB36
NCOA2	ULK4	RAB36
5HT1E	ULK4	RAB36
TBA4A	ULK4	RAB36
METH	ULK4	RAB36
LDHA	ULK4	RAB36
MK08	ULK4	RAB36
IGHG4	ULK4	RAB36
CP2CJ	ULK4	RAB36
RXRA	ULK4	RAB36
PA2GA	ULK4	RAB36
CP131	ULK4	RAB36
ACACB	ULK4	RAB36
PTHY	ULK4	RAB36
IL10	ULK4	RAB36
CAH2	ULK4	RAB36
OPRD	ULK4	RAB36
AAPK1	ULK4	RAB36
PDPK1	ULK4	RAB36
ADRB3	ULK4	RAB36
C11B1	ULK4	RAB36
GBRP	ULK4	RAB36
ROCK2	ULK4	RAB36
RL8	ULK4	RAB36
ADCY2	ULK4	RAB36
PHOP2	ULK4	RAB36
CAH12	ULK4	RAB36
S10A4	ULK4	RAB36
GRIK1	ULK4	RAB36
CBG	ULK4	RAB36
PRGR	ULK4	RAB36
HCAR2	ULK4	RAB36
DNMT1	ULK4	RAB36
PGH2	ULK4	RAB36
CAC1F	ULK4	RAB36
ADA2C	ULK4	RAB36
S15A1	ULK4	RAB36
ADA1A	ULK4	RAB36
A1AG2	ULK4	RAB36
OX1R	ULK4	RAB36
KCMA1	ULK4	RAB36
NMDE3	ULK4	RAB36
HIBCH	ULK4	RAB36
IPKA	ULK4	RAB36
S22AI	ULK4	RAB36
S29A1	ULK4	RAB36
HDAC1	ULK4	RAB36
PNPH	ULK4	RAB36
ADA2B	ULK4	RAB36
TRFL	ULK4	RAB36
ALBU	ULK4	RAB36
FMO3	ULK4	RAB36
PLK1	ULK4	RAB36
SGMR1	ULK4	RAB36
GUAA	ULK4	RAB36
QOR	ULK4	RAB36
GCR	ULK4	RAB36
CATD	ULK4	RAB36
MIF	ULK4	RAB36
HPGDS	ULK4	RAB36
MKNK1	ULK4	RAB36
P2RY2	ULK4	RAB36
S12A4	ULK4	RAB36
EGFR	ULK4	RAB36
NFKB1	ULK4	RAB36
PGFRB	ULK4	RAB36
ANT3	ULK4	RAB36
GTR1	ULK4	RAB36
MK10	ULK4	RAB36
CAMLG	ULK4	RAB36
HEMH	ULK4	RAB36
MTRR	ULK4	RAB36
NQO1	ULK4	RAB36
ACH10	ULK4	RAB36
FMO4	ULK4	RAB36
DRD5	ULK4	RAB36
TRY1	ULK4	RAB36
SCNAA	ULK4	RAB36
GBRG3	ULK4	RAB36
PDE8B	ULK4	RAB36
KCNA2	ULK4	RAB36
IFNA2	ULK4	RAB36
AA1R	ULK4	RAB36
MAPK2	ULK4	RAB36
PK3CD	ULK4	RAB36
HRH4	ULK4	RAB36
GBRB1	ULK4	RAB36
HCN2	ULK4	RAB36
RL26L	ULK4	RAB36
DMTA2	ULK4	RAB36
6PGD	ULK4	RAB36
GRP78	ULK4	RAB36
PSIP1	ULK4	RAB36
AT1A4	ULK4	RAB36
GLR	ULK4	RAB36
OPRK	ULK4	RAB36
ATPB	ULK4	RAB36
STMN4	ULK4	RAB36
CACB2	ULK4	RAB36
NMDZ1	ULK4	RAB36
SC6A3	ULK4	RAB36
ST2B1	ULK4	RAB36
TBG1	ULK4	RAB36
ESR1	ULK4	RAB36
CREB1	ULK4	RAB36
5HT1B	ULK4	RAB36
ERBB2	ULK4	RAB36
HDAC7	ULK4	RAB36
