source	destinations_disconnected_to
ACE	VWA7	COQ3
KAPCA	VWA7	COQ3
NTKL	VWA7	COQ3
CALM	VWA7	COQ3
ACHA4	VWA7	COQ3
ANXA2	VWA7	COQ3
AURKB	VWA7	COQ3
GNAT3	VWA7	COQ3
CA2D1	VWA7	COQ3
CAH4	VWA7	COQ3
AK1C1	VWA7	COQ3
ROCK1	VWA7	COQ3
CHLE	VWA7	COQ3
J3QK85	VWA7	COQ3
ZAP70	VWA7	COQ3
UD14	VWA7	COQ3
S12A2	VWA7	COQ3
EST1A	VWA7	COQ3
VKOR1	VWA7	COQ3
XDH	VWA7	COQ3
ACHB4	VWA7	COQ3
RLP24	VWA7	COQ3
EDN1	VWA7	COQ3
GBRB3	VWA7	COQ3
TKT	VWA7	COQ3
NEU2	VWA7	COQ3
3HAO	VWA7	COQ3
RL10L	VWA7	COQ3
ADA1D	VWA7	COQ3
CANB2	VWA7	COQ3
KAP3	VWA7	COQ3
PANX1	VWA7	COQ3
ST2A1	VWA7	COQ3
UPP2	VWA7	COQ3
AK1D1	VWA7	COQ3
CAC1A	VWA7	COQ3
CUBN	VWA7	COQ3
THA	VWA7	COQ3
TBB5	VWA7	COQ3
CATA	VWA7	COQ3
RL3	VWA7	COQ3
PA2GE	VWA7	COQ3
HRH2	VWA7	COQ3
ATTY	VWA7	COQ3
S29A2	VWA7	COQ3
GBRT	VWA7	COQ3
ACHA3	VWA7	COQ3
CDK6	VWA7	COQ3
5HT7R	VWA7	COQ3
ADRB1	VWA7	COQ3
CP11A	VWA7	COQ3
CSK	VWA7	COQ3
5HT3A	VWA7	COQ3
AT12A	VWA7	COQ3
IOD3	VWA7	COQ3
PGFRA	VWA7	COQ3
A1AG1	VWA7	COQ3
TNFA	VWA7	COQ3
NFAC2	VWA7	COQ3
NOS2	VWA7	COQ3
5HT2B	VWA7	COQ3
HS90A	VWA7	COQ3
LCK	VWA7	COQ3
ADCYA	VWA7	COQ3
HS90B	VWA7	COQ3
ADA2A	VWA7	COQ3
CACP	VWA7	COQ3
RARA	VWA7	COQ3
PYC	VWA7	COQ3
CATL1	VWA7	COQ3
ACHA9	VWA7	COQ3
NH2L1	VWA7	COQ3
AAKB2	VWA7	COQ3
DCXR	VWA7	COQ3
CXCL7	VWA7	COQ3
KCNE1	VWA7	COQ3
B3GT4	VWA7	COQ3
ACES	VWA7	COQ3
SCNNG	VWA7	COQ3
HASP	VWA7	COQ3
MMP3	VWA7	COQ3
MET	VWA7	COQ3
AA2BR	VWA7	COQ3
PDE8A	VWA7	COQ3
5HT2C	VWA7	COQ3
AK1C3	VWA7	COQ3
OSTCN	VWA7	COQ3
NMD3B	VWA7	COQ3
CDK5	VWA7	COQ3
PPARA	VWA7	COQ3
DRD2	VWA7	COQ3
VGFR2	VWA7	COQ3
CP1A2	VWA7	COQ3
NGF	VWA7	COQ3
GBRA6	VWA7	COQ3
