source	destinations_disconnected_to
ACE	UAP1
KAPCA	UAP1
NTKL	UAP1
CALM	UAP1
ACHA4	UAP1
ANXA2	UAP1
AURKB	UAP1
GNAT3	UAP1
CA2D1	UAP1
CAH4	UAP1
AK1C1	UAP1
ROCK1	UAP1
CHLE	UAP1
J3QK85	UAP1
ZAP70	UAP1
UD14	UAP1
S12A2	UAP1
EST1A	UAP1
VKOR1	UAP1
XDH	UAP1
ACHB4	UAP1
RLP24	UAP1
EDN1	UAP1
GBRB3	UAP1
TKT	UAP1
NEU2	UAP1
3HAO	UAP1
RL10L	UAP1
ADA1D	UAP1
CANB2	UAP1
KAP3	UAP1
PANX1	UAP1
ST2A1	UAP1
UPP2	UAP1
AK1D1	UAP1
CAC1A	UAP1
CUBN	UAP1
THA	UAP1
TBB5	UAP1
CATA	UAP1
RL3	UAP1
PA2GE	UAP1
HRH2	UAP1
ATTY	UAP1
S29A2	UAP1
GBRT	UAP1
ACHA3	UAP1
CDK6	UAP1
5HT7R	UAP1
ADRB1	UAP1
CP11A	UAP1
CSK	UAP1
5HT3A	UAP1
AT12A	UAP1
IOD3	UAP1
PGFRA	UAP1
A1AG1	UAP1
TNFA	UAP1
NFAC2	UAP1
NOS2	UAP1
5HT2B	UAP1
HS90A	UAP1
LCK	UAP1
ADCYA	UAP1
HS90B	UAP1
ADA2A	UAP1
CACP	UAP1
RARA	UAP1
PYC	UAP1
CATL1	UAP1
ACHA9	UAP1
NH2L1	UAP1
AAKB2	UAP1
DCXR	UAP1
CXCL7	UAP1
KCNE1	UAP1
B3GT4	UAP1
ACES	UAP1
SCNNG	UAP1
HASP	UAP1
MMP3	UAP1
MET	UAP1
AA2BR	UAP1
PDE8A	UAP1
5HT2C	UAP1
AK1C3	UAP1
OSTCN	UAP1
NMD3B	UAP1
CDK5	UAP1
PPARA	UAP1
DRD2	UAP1
VGFR2	UAP1
CP1A2	UAP1
NGF	UAP1
GBRA6	UAP1
ACHA7	UAP1
CP2C9	UAP1
TBA1A	UAP1
IL2RA	UAP1
PPB1	UAP1
PD2R	UAP1
Q71TU5	UAP1
DCE1	UAP1
GBRG1	UAP1
FGFR2	UAP1
IMPA1	UAP1
ACM2	UAP1
IL8	UAP1
5HT6R	UAP1
KPCT	UAP1
AOC1	UAP1
PCNA	UAP1
KSYK	UAP1
CAH9	UAP1
RL11	UAP1
CACB3	UAP1
HMDH	UAP1
GBRA4	UAP1
KIT	UAP1
AOFA	UAP1
NEP	UAP1
GLYC	UAP1
NCOA2	UAP1
5HT1E	UAP1
TBA4A	UAP1
METH	UAP1
LDHA	UAP1
MK08	UAP1
IGHG4	UAP1
CP2CJ	UAP1
RXRA	UAP1
PA2GA	UAP1
CP131	UAP1
ACACB	UAP1
PTHY	UAP1
IL10	UAP1
CAH2	UAP1
OPRD	UAP1
