source	destinations_disconnected_to
ACE	TEX2	TTC23	ATP9A	IFT46	CRNN
KAPCA	TEX2	TTC23	ATP9A	IFT46	CRNN
NTKL	TEX2	TTC23	ATP9A	IFT46	CRNN
CALM	TEX2	TTC23	ATP9A	IFT46	CRNN
ACHA4	TEX2	TTC23	ATP9A	IFT46	CRNN
ANXA2	TEX2	TTC23	ATP9A	IFT46	CRNN
AURKB	TEX2	TTC23	ATP9A	IFT46	CRNN
GNAT3	TEX2	TTC23	ATP9A	IFT46	CRNN
CA2D1	TEX2	TTC23	ATP9A	IFT46	CRNN
CAH4	TEX2	TTC23	ATP9A	IFT46	CRNN
AK1C1	TEX2	TTC23	ATP9A	IFT46	CRNN
ROCK1	TEX2	TTC23	ATP9A	IFT46	CRNN
CHLE	TEX2	TTC23	ATP9A	IFT46	CRNN
J3QK85	TEX2	TTC23	ATP9A	IFT46	CRNN
ZAP70	TEX2	TTC23	ATP9A	IFT46	CRNN
UD14	TEX2	TTC23	ATP9A	IFT46	CRNN
S12A2	TEX2	TTC23	ATP9A	IFT46	CRNN
EST1A	TEX2	TTC23	ATP9A	IFT46	CRNN
VKOR1	TEX2	TTC23	ATP9A	IFT46	CRNN
XDH	TEX2	TTC23	ATP9A	IFT46	CRNN
ACHB4	TEX2	TTC23	ATP9A	IFT46	CRNN
RLP24	TEX2	TTC23	ATP9A	IFT46	CRNN
EDN1	TEX2	TTC23	ATP9A	IFT46	CRNN
GBRB3	TEX2	TTC23	ATP9A	IFT46	CRNN
TKT	TEX2	TTC23	ATP9A	IFT46	CRNN
NEU2	TEX2	TTC23	ATP9A	IFT46	CRNN
3HAO	TEX2	TTC23	ATP9A	IFT46	CRNN
RL10L	TEX2	TTC23	ATP9A	IFT46	CRNN
ADA1D	TEX2	TTC23	ATP9A	IFT46	CRNN
CANB2	TEX2	TTC23	ATP9A	IFT46	CRNN
KAP3	TEX2	TTC23	ATP9A	IFT46	CRNN
PANX1	TEX2	TTC23	ATP9A	IFT46	CRNN
ST2A1	TEX2	TTC23	ATP9A	IFT46	CRNN
UPP2	TEX2	TTC23	ATP9A	IFT46	CRNN
AK1D1	TEX2	TTC23	ATP9A	IFT46	CRNN
CAC1A	TEX2	TTC23	ATP9A	IFT46	CRNN
CUBN	TEX2	TTC23	ATP9A	IFT46	CRNN
THA	TEX2	TTC23	ATP9A	IFT46	CRNN
TBB5	TEX2	TTC23	ATP9A	IFT46	CRNN
CATA	TEX2	TTC23	ATP9A	IFT46	CRNN
RL3	TEX2	TTC23	ATP9A	IFT46	CRNN
PA2GE	TEX2	TTC23	ATP9A	IFT46	CRNN
HRH2	TEX2	TTC23	ATP9A	IFT46	CRNN
ATTY	TEX2	TTC23	ATP9A	IFT46	CRNN
S29A2	TEX2	TTC23	ATP9A	IFT46	CRNN
GBRT	TEX2	TTC23	ATP9A	IFT46	CRNN
ACHA3	TEX2	TTC23	ATP9A	IFT46	CRNN
CDK6	TEX2	TTC23	ATP9A	IFT46	CRNN
5HT7R	TEX2	TTC23	ATP9A	IFT46	CRNN
ADRB1	TEX2	TTC23	ATP9A	IFT46	CRNN
CP11A	TEX2	TTC23	ATP9A	IFT46	CRNN
CSK	TEX2	TTC23	ATP9A	IFT46	CRNN
5HT3A	TEX2	TTC23	ATP9A	IFT46	CRNN
AT12A	TEX2	TTC23	ATP9A	IFT46	CRNN
IOD3	TEX2	TTC23	ATP9A	IFT46	CRNN
PGFRA	TEX2	TTC23	ATP9A	IFT46	CRNN
A1AG1	TEX2	TTC23	ATP9A	IFT46	CRNN
TNFA	TEX2	TTC23	ATP9A	IFT46	CRNN
NFAC2	TEX2	TTC23	ATP9A	IFT46	CRNN
NOS2	TEX2	TTC23	ATP9A	IFT46	CRNN
5HT2B	TEX2	TTC23	ATP9A	IFT46	CRNN
HS90A	TEX2	TTC23	ATP9A	IFT46	CRNN
LCK	TEX2	TTC23	ATP9A	IFT46	CRNN
ADCYA	TEX2	TTC23	ATP9A	IFT46	CRNN
HS90B	TEX2	TTC23	ATP9A	IFT46	CRNN
ADA2A	TEX2	TTC23	ATP9A	IFT46	CRNN
CACP	TEX2	TTC23	ATP9A	IFT46	CRNN
RARA	TEX2	TTC23	ATP9A	IFT46	CRNN
PYC	TEX2	TTC23	ATP9A	IFT46	CRNN
CATL1	TEX2	TTC23	ATP9A	IFT46	CRNN
ACHA9	TEX2	TTC23	ATP9A	IFT46	CRNN
NH2L1	TEX2	TTC23	ATP9A	IFT46	CRNN
AAKB2	TEX2	TTC23	ATP9A	IFT46	CRNN
DCXR	TEX2	TTC23	ATP9A	IFT46	CRNN
CXCL7	TEX2	TTC23	ATP9A	IFT46	CRNN
KCNE1	TEX2	TTC23	ATP9A	IFT46	CRNN
B3GT4	TEX2	TTC23	ATP9A	IFT46	CRNN
ACES	TEX2	TTC23	ATP9A	IFT46	CRNN
SCNNG	TEX2	TTC23	ATP9A	IFT46	CRNN
HASP	TEX2	TTC23	ATP9A	IFT46	CRNN
MMP3	TEX2	TTC23	ATP9A	IFT46	CRNN
MET	TEX2	TTC23	ATP9A	IFT46	CRNN
AA2BR	TEX2	TTC23	ATP9A	IFT46	CRNN
PDE8A	TEX2	TTC23	ATP9A	IFT46	CRNN
5HT2C	TEX2	TTC23	ATP9A	IFT46	CRNN
AK1C3	TEX2	TTC23	ATP9A	IFT46	CRNN
OSTCN	TEX2	TTC23	ATP9A	IFT46	CRNN
NMD3B	TEX2	TTC23	ATP9A	IFT46	CRNN
CDK5	TEX2	TTC23	ATP9A	IFT46	CRNN
PPARA	TEX2	TTC23	ATP9A	IFT46	CRNN
DRD2	TEX2	TTC23	ATP9A	IFT46	CRNN
VGFR2	TEX2	TTC23	ATP9A	IFT46	CRNN
CP1A2	TEX2	TTC23	ATP9A	IFT46	CRNN
NGF	TEX2	TTC23	ATP9A	IFT46	CRNN
GBRA6	TEX2	TTC23	ATP9A	IFT46	CRNN
ACHA7	TEX2	TTC23	ATP9A	IFT46	CRNN
CP2C9	TEX2	TTC23	ATP9A	IFT46	CRNN
TBA1A	TEX2	TTC23	ATP9A	IFT46	CRNN
IL2RA	TEX2	TTC23	ATP9A	IFT46	CRNN
PPB1	TEX2	TTC23	ATP9A	IFT46	CRNN
PD2R	TEX2	TTC23	ATP9A	IFT46	CRNN
Q71TU5	TEX2	TTC23	ATP9A	IFT46	CRNN
DCE1	TEX2	TTC23	ATP9A	IFT46	CRNN
GBRG1	TEX2	TTC23	ATP9A	IFT46	CRNN
FGFR2	TEX2	TTC23	ATP9A	IFT46	CRNN
IMPA1	TEX2	TTC23	ATP9A	IFT46	CRNN
