UniProt	SwissProt	Chembl	Annotation
2A5A_HUMAN	Q15172	CHEMBL4763	Serine/threonine Protein Phosphatase 2A, 56 KDa Regulatory Subunit, Alpha Isoform, Human
2AAA_MOUSE	Q76MZ3	CHEMBL3557	Serine/threonine Protein Phosphatase 2A, 65 KDa Regulatory Subunit A, Alpha Isoform, Mouse
2ABG_HUMAN	Q9Y2T4	CHEMBL2507	Serine/threonine Protein Phosphatase 2A, 55 KDa Regulatory Subunit B, Gamma Isoform, Human
2B11_HUMAN	P04229	CHEMBL1943	HLA Class II Histocompatibility Antigen DRB1-1, Human
3BHS1_HUMAN	P14060	CHEMBL1958	3-beta-hydroxysteroid Dehydrogenase/delta 5-->4-isomerase Type I, Human
3BHS2_HUMAN	P26439	CHEMBL3670	3-beta-hydroxysteroid Dehydrogenase/delta 5-->4-isomerase Type II, Human
3BHS2_RAT	P22072	CHEMBL4821	3-beta-hydroxysteroid Dehydrogenase/delta 5-->4-isomerase Type II, Rat
3BHS5_RAT	P27364	CHEMBL4490	3-beta-hydroxysteroid Dehydrogenase Type III, Rat
3BHS7_HUMAN	Q9H2F3	CHEMBL3600	3-beta-hydroxysteroid Dehydrogenase Type VII, Human
3BHS_MYCTU	O53454	CHEMBL1744528	3 Beta-hydroxysteroid Dehydrogenase/Delta 5-->4-isomerase, Myctu
5HT1A_HUMAN	P08908	CHEMBL214	Serotonin 1a (5-HT1a) Receptor, Human
5HT1A_MOUSE	Q64264	CHEMBL3737	Serotonin 1a (5-HT1a) Receptor, Mouse
5HT1A_RAT	P19327	CHEMBL273	Serotonin 1a (5-HT1a) Receptor, Rat
5HT1B_HUMAN	P28222	CHEMBL1898	Serotonin 1b (5-HT1b) Receptor, Human
5HT1B_RAT	P28564	CHEMBL3459	Serotonin 1b (5-HT1b) Receptor, Rat
5HT1D_HUMAN	P28221	CHEMBL1983	Serotonin 1d (5-HT1d) Receptor, Human
5HT1D_MOUSE	Q61224	CHEMBL4297	Serotonin 1d (5-HT1d) Receptor, Mouse
5HT1D_PIG	P79400	CHEMBL4105	Serotonin 1d (5-HT1d) Receptor, Pig
5HT1D_RAT	P28565	CHEMBL5450	Serotonin 1d (5-HT1d) Receptor, Rat
5HT1E_HUMAN	P28566	CHEMBL2182	Serotonin 1e (5-HT1e) Receptor, Human
5HT1F_HUMAN	P30939	CHEMBL1805	Serotonin 1f (5-HT1f) Receptor, Human
5HT1F_RAT	P30940	CHEMBL4646	Serotonin 1f (5-HT1f) Receptor, Rat
5HT2A_BOVIN	Q75Z89	CHEMBL3446	Serotonin 2a (5-HT2a) Receptor, Bovin
5HT2A_CANFA	O46635	CHEMBL5781	5-hydroxytryptamine Receptor 2A, Canine
5HT2A_HUMAN	P28223	CHEMBL224	Serotonin 2a (5-HT2a) Receptor, Human
5HT2A_MOUSE	P35363	CHEMBL5377	Serotonin 2a (5-HT2a) Receptor, Mouse
5HT2A_PIG	P50129	CHEMBL2490	Serotonin 2a (5-HT2a) Receptor, Pig
5HT2A_RAT	P14842	CHEMBL322	Serotonin 2a (5-HT2a) Receptor, Rat
5HT2B_HUMAN	P41595	CHEMBL1833	Serotonin 2b (5-HT2b) Receptor, Human
5HT2B_MOUSE	Q02152	CHEMBL2583	Serotonin 2b (5-HT2b) Receptor, Mouse
5HT2B_RAT	P30994	CHEMBL323	Serotonin 2b (5-HT2b) Receptor, Rat
5HT2C_HUMAN	P28335	CHEMBL225	Serotonin 2c (5-HT2c) Receptor, Human
5HT2C_MOUSE	P34968	CHEMBL3006	Serotonin 2c (5-HT2c) Receptor, Mouse
5HT2C_RAT	P08909	CHEMBL324	Serotonin 2c (5-HT2c) Receptor, Rat
5HT3A_CAVPO	O70212	CHEMBL3666	Serotonin 3a (5-HT3a) Receptor, Guinea Pig
5HT3A_HUMAN	P46098	CHEMBL1899	Serotonin 3a (5-HT3a) Receptor, Human
5HT3A_MOUSE	P23979	CHEMBL4972	Serotonin 3a (5-HT3a) Receptor, Mouse
5HT3A_RAT	P35563	CHEMBL2411	Serotonin 3a (5-HT3a) Receptor, Rat
5HT3B_HUMAN	O95264	CHEMBL3895	Serotonin 3b (5-HT3b) Receptor, Human
5HT3B_MOUSE	Q9JHJ5	CHEMBL3781	Serotonin 3b (5-HT3b) Receptor, Mouse
5HT3B_RAT	Q9JJ16	CHEMBL3458	Serotonin 3b (5-HT3b) Receptor, Rat
5HT3C_HUMAN	Q8WXA8	CHEMBL4795	Serotonin 3c (5-HT3c) Receptor, Human
5HT3D_HUMAN	Q70Z44	CHEMBL4673	Serotonin 3d (5-HT3d) Receptor, Human
5HT3E_HUMAN	A5X5Y0	CHEMBL3812	Serotonin 3e (5-HT3e) Receptor, Human
5HT4R_CAVPO	O70528	CHEMBL5017	Serotonin 4 (5-HT4) Receptor, Guinea Pig
5HT4R_HUMAN	Q13639	CHEMBL1875	Serotonin 4 (5-HT4) Receptor, Human
5HT4R_MOUSE	P97288	CHEMBL2183	Serotonin 4 (5-HT4) Receptor, Mouse
5HT4R_RAT	Q62758	CHEMBL4317	Serotonin 4 (5-HT4) Receptor, Rat
5HT5A_HUMAN	P47898	CHEMBL3426	Serotonin 5a (5-HT5a) Receptor, Human
5HT5A_MOUSE	P30966	CHEMBL3597	Serotonin 5a (5-HT5a) Receptor, Mouse
