From	To	Species	Gene Name
PROC_HUMAN	811407	Homo sapiens	protein C (inactivator of coagulation factors Va and VIIIa)
MRP2_HUMAN	781494	Homo sapiens	ATP-binding cassette, sub-family C (CFTR/MRP), member 2
KC1G1_MOUSE	464257	Mus musculus	casein kinase 1, gamma 1
P53_HUMAN	809345	Homo sapiens	tumor protein p53
TGFR2_HUMAN	775183	Homo sapiens	transforming growth factor, beta receptor II (70/80kDa)
PNPH_BOVIN	589860	Bos taurus	nucleoside phosphorylase
SCN3A_HUMAN	786834	Homo sapiens	sodium channel, voltage-gated, type III, alpha subunit
TBB1_HUMAN	789012	Homo sapiens	tubulin, beta 1
PYGL_HUMAN	804295	Homo sapiens	phosphorylase, glycogen, liver
MCR_HUMAN	776650	Homo sapiens	nuclear receptor subfamily 3, group C, member 2
KPCT_RAT	392386	Rattus norvegicus	protein kinase C, theta
NEK7_HUMAN	806310	Homo sapiens	NIMA (never in mitosis gene a)-related kinase 7
MMP7_HUMAN	773716	Homo sapiens	matrix metallopeptidase 7 (matrilysin, uterine)
Q8HY88_BOVIN	591197	Bos taurus	potassium channel, subfamily K, member 2
KPCE_RAT	379334	Rattus norvegicus	protein kinase C, epsilon
TA2R_MOUSE	441020	Mus musculus	thromboxane A2 receptor
PDE1B_RAT	383581	Rattus norvegicus	phosphodiesterase 1B, calmodulin-dependent
STK25_HUMAN	772813	Homo sapiens	serine/threonine kinase 25 (STE20 homolog, yeast)
Q5XX84_CANFA	762681	Canis lupus	hydroxysteroid (11-beta) dehydrogenase 1
SF3B3_HUMAN	792435	Homo sapiens	splicing factor 3b, subunit 3, 130kDa
KYNU_HUMAN	824059	Homo sapiens	kynureninase (L-kynurenine hydrolase)
KPB1_HUMAN	819891	Homo sapiens	phosphorylase kinase, alpha 1 pseudogene 1; phosphorylase kinase, alpha 1 (muscle)
KCC2D_HUMAN	823182	Homo sapiens	calcium/calmodulin-dependent protein kinase II delta
STK11_HUMAN	809190	Homo sapiens	serine/threonine kinase 11
NICA_HUMAN	791070	Homo sapiens	nicastrin
PAI1_RAT	385323	Rattus norvegicus	serine (or cysteine) peptidase inhibitor, clade E, member 1
THAS_HUMAN	821548	Homo sapiens	thromboxane A synthase 1 (platelet)
KCNN3_RAT	381398	Rattus norvegicus	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3
PGFRB_RAT	397804	Rattus norvegicus	platelet derived growth factor receptor, beta polypeptide
MYLK_HUMAN	777544	Homo sapiens	myosin light chain kinase
TP4A3_HUMAN	807427	Homo sapiens	protein tyrosine phosphatase type IVA, member 3
O77773_PIG	618157	Sus scrofa	calcium channel, voltage-dependent, alpha 2/delta subunit 1
M3K11_HUMAN	804121	Homo sapiens	mitogen-activated protein kinase kinase kinase 11
PGH2_HUMAN	810015	Homo sapiens	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
MGA_HUMAN	793181	Homo sapiens	maltase-glucoamylase (alpha-glucosidase)
PLCB3_HUMAN	778054	Homo sapiens	phospholipase C, beta 3 (phosphatidylinositol-specific)
KCNN1_RAT	410592	Rattus norvegicus	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1
NPCL1_HUMAN	816685	Homo sapiens	NPC1 (Niemann-Pick disease, type C1, gene)-like 1
PHLP2_HUMAN	822688	Homo sapiens	PH domain and leucine rich repeat protein phosphatase 2
OPRK_RAT	402921	Rattus norvegicus	opioid receptor, kappa 1
THER_BACTH	6883713	Bacillus thermoproteolyticus	Thermolysin
Q9HUN3_PSEAE	5663583	Pseudomonas aeruginosa	PA14_65130; PA4931; PLES_53171
NFKB1_HUMAN	805293	Homo sapiens	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
TYRO3_HUMAN	825983	Homo sapiens	TYRO3 protein tyrosine kinase
NEK6_HUMAN	779711	Homo sapiens	NIMA (never in mitosis gene a)-related kinase 6
TAOK3_HUMAN	799281	Homo sapiens	TAO kinase 3
PRKX_HUMAN	808879	Homo sapiens	protein kinase, X-linked
PRIO_HUMAN	790084	Homo sapiens	prion protein
RARG_MOUSE	470397	Mus musculus	retinoic acid receptor, gamma
NU2M_HUMAN	782510	Homo sapiens	NADH-ubiquinone oxidoreductase chain 2
SGK1_HUMAN	825161	Homo sapiens	serum/glucocorticoid regulated kinase 1
RBBP9_HUMAN	807540	Homo sapiens	retinoblastoma binding protein 9
STK3_HUMAN	825314	Homo sapiens	serine/threonine kinase 3 (STE20 homolog, yeast)
PCKGM_HUMAN	789337	Homo sapiens	phosphoenolpyruvate carboxykinase 2 (mitochondrial)
LIMK1_HUMAN	790002	Homo sapiens	LIM domain kinase 1
LPH_RAT	389363	Rattus norvegicus	lactase
MTR1B_HUMAN	793145	Homo sapiens	melatonin receptor 1B
VACHT_HUMAN	818449	Homo sapiens	solute carrier family 18 (vesicular acetylcholine), member 3
SMO_MOUSE	432662	Mus musculus	predicted gene 4066; smoothened homolog (Drosophila)
TTHY_HUMAN	819663	Homo sapiens	transthyretin
SCN4A_RAT	396701	Rattus norvegicus	sodium channel, voltage-gated, type 4, alpha subunit
PPBI_BOVIN	589222	Bos taurus	alkaline phosphatase, intestinal
TRFR_HUMAN	822336	Homo sapiens	thyrotropin-releasing hormone receptor
MK14_RAT	387335	Rattus norvegicus	mitogen activated protein kinase 14
VDR_MOUSE	443053	Mus musculus	vitamin D receptor
SCN4A_HUMAN	786383	Homo sapiens	sodium channel, voltage-gated, type IV, alpha subunit
NR0B2_HUMAN	796820	Homo sapiens	nuclear receptor subfamily 0, group B, member 2
MCHR1_MOUSE	438562	Mus musculus	melanin-concentrating hormone receptor 1
NR1I2_HUMAN	798276	Homo sapiens	nuclear receptor subfamily 1, group I, member 2
V2R_HUMAN	773301	Homo sapiens	arginine vasopressin receptor 2
PNPH_RAT	416007	Rattus norvegicus	nucleoside phosphorylase
Q50565_METTH	418841	Methanothermobacter thermautotrophicus	MTH1582
PA2GA_RAT	389902	Rattus norvegicus	phospholipase A2, group IIA (platelets, synovial fluid)
S22A6_HUMAN	786824	Homo sapiens	solute carrier family 22 (organic anion transporter), member 6
SYK_HUMAN	785252	Homo sapiens	lysyl-tRNA synthetase
MTNN_ECOLI	5270132	Escherichia coli	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
KPCE_HUMAN	808666	Homo sapiens	protein kinase C, epsilon
PURA2_HUMAN	822004	Homo sapiens	adenylosuccinate synthase
MC4R_RAT	415446	Rattus norvegicus	melanocortin 4 receptor
STK33_HUMAN	782947	Homo sapiens	serine/threonine kinase 33
NDUB7_HUMAN	822347	Homo sapiens	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa
LPXC_AQUAE	4000580	Aquifex aeolicus	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
MINK1_HUMAN	784046	Homo sapiens	misshapen-like kinase 1 (zebrafish)
STK16_HUMAN	827092	Homo sapiens	serine/threonine kinase 16
