GeneSymbol1	GeneSymbol2	Distance
ARF5	PSD1	0.824
ARF5	VAMP3	0.673
ARF5	ACAP1	0.282
ARF5	QCR1	0.728
ARF5	MLF2	0.759
ARF5	PSMD8	0.83
ARF5	BCL7C	0.804
ARF5	ATPD	0.721
ARF5	NDUB7	0.849
ARF5	UB2R1	0.832
ARF5	RPAB1	0.717
ARF5	MIF	0.811
ARF5	TOM22	0.579
ARF5	FKBP3	0.797
ARF5	CHIP	0.822
ARF5	TBCB	0.824
ARF5	PRAF1	0.691
ARF5	TM147	0.833
ARF5	FKBP8	0.838
ARF5	HGF	0.743
ARF5	BET1	0.803
ARF5	FKB14	0.819
ARF5	HAP28	0.736
ARF5	RBM28	0.772
ARF5	FIS1	0.589
ARF5	PSA2	0.787
ARF5	BCL7B	0.841
ARF5	YKT6	0.806
ARF5	PSB3	0.829
ARF5	PROF1	0.72
ARF5	M2OM	0.82
ARF5	PAXI	0.701
ARF5	LDHB	0.798
ARF5	RS12	0.834
ARF5	SNX3	0.759
ARF5	THG1	0.784
ARF5	EIF1B	0.846
ARF5	NRBP	0.802
ARF5	SNX17	0.74
ARF5	PLEK	0.593
ARF5	VATO	0.805
ARF5	ARAP3	0.82
ARF5	X6R2W0	0.595
ARF5	RAP2A	0.652
ARF5	GGA3	0.503
ARF5	RALY	0.82
ARF5	CPNS1	0.754
ARF5	CALX	0.842
ARF5	AAMP	0.835
ARF5	CYH4	0.341
ARF5	RAC2	0.765
ARF5	VATF	0.726
ARF5	COPB	0.663
ARF5	NEDD8	0.766
ARF5	LMAN1	0.812
ARF5	S14L5	0.781
ARF5	GLU2B	0.568
ARF5	RM34	0.795
ARF5	6PGL	0.815
ARF5	UBC12	0.773
ARF5	TM160	0.768
ARF5	A6NG32	0.805
ARF5	NR1H2	0.844
ARF5	WDR44	0.757
ARF5	ARFP2	0.054
ARF5	AP3B1	0.357
ARF5	S14L4	0.699
ARF5	ARL8B	0.709
ARF5	ARF3	0.601
ARF5	BL1S1	0.812
ARF5	RFIP5	0.431
ARF5	STX6	0.643
ARF5	ERD22	0.736
ARF5	LYSC	0.838
ARF5	SNW1	0.733
ARF5	ARL1	0.832
ARF5	CADH1	0.802
ARF5	RB11A	0.652
ARF5	COPZ1	0.847
ARF5	BIG1	0.467
ARF5	PKD1	0.725
ARF5	RFIP3	0.168
ARF5	CSK22	0.823
ARF5	RAB2A	0.818
ARF5	COPE	0.802
ARF5	RRAGB	0.844
ARF5	MP2K2	0.84
ARF5	PLD2	0.76
ARF5	ARFG3	0.68
ARF5	AP2S1	0.687
ARF5	NUCB1	0.835
ARF5	COPD	0.723
ARF5	OCAD1	0.753
ARF5	GRIA2	0.693
ARF5	J3KN43	0.761
ARF5	PSMD3	0.836
ARF5	PYR1	0.84
ARF5	RAB10	0.818
ARF5	J3KN47	0.755
ARF5	GOLP3	0.692
ARF5	PRDX5	0.815
ARF5	ANK1	0.611
ARF5	ADAP1	0.778
ARF5	J3KN60	0.761
ARF5	SCAM2	0.837
ARF5	CLH1	0.657
ARF5	AKT1	0.71
ARF5	SAE1	0.799
ARF5	PSB6	0.838
ARF5	RS11	0.82
ARF5	PI4KB	0.821
ARF5	ARF1	0.659
ARF5	ARL8A	0.669
ARF5	IQEC1	0.343
ARF5	RABL3	0.811
ARF5	UHRF2	0.838
ARF5	DHB12	0.756
ARF5	LTOR1	0.754
ARF5	PIGT	0.707
ARF5	PP4C	0.722
ARF5	NGLY1	0.797
ARF5	ASAP2	0.154
ARF5	FBX4	0.83
ARF5	J3KN97	0.772
ARF5	AT5G3	0.82
ARF5	MYO5B	0.824
ARF5	ACTY	0.819
ARF5	TPPP3	0.841
ARF5	VA0D1	0.841
ARF5	AP2M1	0.716
ARF5	TBC24	0.697
ARF5	STX5	0.765
ARF5	ARL5A	0.689
ARF5	SSRB	0.808
ARF5	ALBU	0.835
ARF5	ELP6	0.82
ARF5	MASP1	0.82
ARF5	ARFP1	0.025
ARF5	CDK5	0.782
ARF5	PRS6A	0.846
ARF5	RPC5	0.707
ARF5	CRK	0.665
ARF5	GBX2	0.807
ARF5	ARAP2	0.626
ARF5	TWF2	0.787
ARF5	CSN6	0.844
ARF5	RAC3	0.729
ARF5	SNX7	0.787
ARF5	ZNHI1	0.676
ARF5	CTNA1	0.704
ARF5	RFXK	0.843
ARF5	GBB2	0.804
ARF5	SC23A	0.842
ARF5	RN181	0.832
ARF5	AGAP1	0.393
ARF5	CQ062	0.84
ARF5	ZPLD1	0.738
ARF5	1433Z	0.804
ARF5	QIL1	0.833
ARF5	RAB1B	0.63
ARF5	RHG01	0.757
ARF5	MAP9	0.538
ARF5	RFIP4	0.321
ARF5	GNAI2	0.826
ARF5	MAK	0.785
ARF5	AR6P4	0.792
ARF5	SSNA1	0.765
ARF5	LFG1	0.847
ARF5	CDC42	0.783
ARF5	GAK	0.765
ARF5	J9JID2	0.821
ARF5	FA89B	0.759
ARF5	NDUS8	0.848
ARF5	SCD5	0.812
ARF5	OSBL2	0.838
ARF5	TPPC5	0.84
ARF5	SSRD	0.846
ARF5	EEA1	0.782
ARF5	PKHJ1	0.838
ARF5	GCC1	0.767
ARF5	RAP2B	0.575
ARF5	STML1	0.841
ARF5	RAB43	0.808
ARF5	COX8A	0.795
ARF5	ACAP2	0.282
ARF5	2AAA	0.765
ARF5	COPG1	0.836
ARF5	J3KNL6	0.799
ARF5	PP1A	0.657
ARF5	ARFRP	0.85
ARF5	B7Z9M7	0.632
ARF5	EMRE	0.836
ARF5	J3KNM6	0.73
ARF5	TOP1M	0.747
ARF5	TSPOA	0.716
ARF5	COPB2	0.681
ARF5	ERD21	0.645
ARF5	VATL	0.776
ARF5	RFIP1	0.47
ARF5	BOLA3	0.823
ARF5	DGCR6	0.843
ARF5	LAMP1	0.571
ARF5	RB11B	0.65
ARF5	BASI	0.804
ARF5	EXOC7	0.421
ARF5	AP1S1	0.487
ARF5	CLPT1	0.841
ARF5	2A5E	0.831
ARF5	ASAP3	0.816
ARF5	EZRI	0.824
ARF5	RAP2C	0.652
ARF5	ERF3B	0.846
ARF5	GGA1	0.527
ARF5	RADI	0.807
ARF5	LTOR4	0.791
ARF5	FIBP	0.841
ARF5	UBC	0.686
ARF5	RAB5C	0.829
ARF5	RS17	0.84
ARF5	GPX4	0.838
ARF5	CRKL	0.839
ARF5	SND1	0.783
ARF5	CSN1	0.84
ARF5	GIT2	0.66
ARF5	RAC1	0.724
ARF5	AMPH	0.759
ARF5	PICK1	0.606
ARF5	ASNA	0.791
ARF5	AP1B1	0.346
ARF5	ASAP1	0.274
ARF5	GRM7	0.573
ARF5	UNC50	0.824
ARF5	SRC	0.79
ARF5	BABA1	0.809
ARF5	CLN3	0.84
ARF5	TFR1	0.771
ARF5	MOES	0.809
ARF5	RAB25	0.542
ARF5	CYH1	0.435
ARF5	GOGA4	0.804
ARF5	TOP1	0.747
ARF5	MELT	0.82
ARF5	CD2A2	0.373
ARF5	R3HD4	0.841
ARF5	PARP1	0.538
ARF5	MSS4	0.733
ARF5	NCF2	0.804
ARF5	SF3B5	0.794
ARF5	TAGL2	0.809
ARF5	PMF1	0.846
ARF5	LTOR2	0.817
ARF5	GOPC	0.771
ARF5	PI51A	0.373
ARF5	NSE4A	0.763
ARF5	APH1A	0.84
ARF5	GBF1	0.504
ARF5	ACOD	0.812
ARF5	SMAP1	0.729
ARF5	GNAS1	0.772
ARF5	STX16	0.677
ARF5	ADT2	0.817
ARF5	BIG2	0.62
ARF5	ELOV1	0.825
ARF5	CMTD1	0.821
ARF5	SMAP2	0.729
ARF5	CI016	0.84
ARF5	SAR1A	0.746
ARF5	S1PBP	0.837
ARF5	PEF1	0.795
ARF5	STX12	0.812
ARF5	ZDH18	0.828
ARF5	ZFP37	0.73
ARF5	IF6	0.838
ARF5	EPHB2	0.771
ARF5	NPS3A	0.835
ARF5	OST48	0.84
ARF5	PA2GF	0.818
ARF5	PA2GE	0.824
ARF5	AB17B	0.827
ARF5	ARAF	0.804
ARF5	ARL5B	0.68
ARF5	VPS28	0.743
ARF5	TGON2	0.764
ARF5	APT	0.774
ARF5	AP2A	0.8
ARF5	DNJA1	0.77
ARF5	ANR16	0.66
ARF5	RRAGA	0.844
ARF5	RM23	0.843
ARF5	AT8A2	0.737
ARF5	AT8A1	0.737
ARF5	TSSC1	0.841
ARF5	TAP2	0.833
ARF5	CAPS1	0.778
ARF5	T2R19	0.837
ARF5	S14L1	0.781
ARF5	SPR2A	0.837
ARF5	RBL2A	0.759
ARF5	ARAP1	0.538
ARF5	AT5G2	0.835
ARF5	DNJA4	0.77
ARF5	GIT1	0.772
ARF5	AUXI	0.765
ARF5	RBL2B	0.762
ARF5	ARPC4	0.74
ARF5	GRIP1	0.693
ARF5	ELAV1	0.785
ARF5	RNK	0.848
ARF5	RAB1A	0.717
