source	destinations_disconnected_to
ACE	WDR96
KAPCA	WDR96
NTKL	WDR96
CALM	WDR96
ACHA4	WDR96
ANXA2	WDR96
AURKB	WDR96
GNAT3	WDR96
CA2D1	WDR96
CAH4	WDR96
AK1C1	WDR96
ROCK1	WDR96
CHLE	WDR96
J3QK85	WDR96
ZAP70	WDR96
UD14	WDR96
S12A2	WDR96
EST1A	WDR96
VKOR1	WDR96
XDH	WDR96
ACHB4	WDR96
RLP24	WDR96
EDN1	WDR96
GBRB3	WDR96
TKT	WDR96
NEU2	WDR96
3HAO	WDR96
RL10L	WDR96
ADA1D	WDR96
CANB2	WDR96
KAP3	WDR96
PANX1	WDR96
ST2A1	WDR96
UPP2	WDR96
AK1D1	WDR96
CAC1A	WDR96
CUBN	WDR96
THA	WDR96
TBB5	WDR96
CATA	WDR96
RL3	WDR96
PA2GE	WDR96
HRH2	WDR96
ATTY	WDR96
S29A2	WDR96
GBRT	WDR96
ACHA3	WDR96
CDK6	WDR96
5HT7R	WDR96
ADRB1	WDR96
CP11A	WDR96
CSK	WDR96
5HT3A	WDR96
AT12A	WDR96
IOD3	WDR96
PGFRA	WDR96
A1AG1	WDR96
TNFA	WDR96
NFAC2	WDR96
NOS2	WDR96
5HT2B	WDR96
HS90A	WDR96
LCK	WDR96
ADCYA	WDR96
HS90B	WDR96
ADA2A	WDR96
CACP	WDR96
RARA	WDR96
PYC	WDR96
CATL1	WDR96
ACHA9	WDR96
NH2L1	WDR96
AAKB2	WDR96
DCXR	WDR96
CXCL7	WDR96
KCNE1	WDR96
B3GT4	WDR96
ACES	WDR96
SCNNG	WDR96
HASP	WDR96
MMP3	WDR96
MET	WDR96
AA2BR	WDR96
PDE8A	WDR96
5HT2C	WDR96
AK1C3	WDR96
OSTCN	WDR96
NMD3B	WDR96
CDK5	WDR96
PPARA	WDR96
DRD2	WDR96
VGFR2	WDR96
CP1A2	WDR96
NGF	WDR96
GBRA6	WDR96
ACHA7	WDR96
CP2C9	WDR96
TBA1A	WDR96
IL2RA	WDR96
PPB1	WDR96
PD2R	WDR96
Q71TU5	WDR96
DCE1	WDR96
GBRG1	WDR96
FGFR2	WDR96
IMPA1	WDR96
ACM2	WDR96
IL8	WDR96
5HT6R	WDR96
KPCT	WDR96
AOC1	WDR96
PCNA	WDR96
KSYK	WDR96
CAH9	WDR96
RL11	WDR96
CACB3	WDR96
HMDH	WDR96
GBRA4	WDR96
KIT	WDR96
AOFA	WDR96
NEP	WDR96
GLYC	WDR96
NCOA2	WDR96
5HT1E	WDR96
TBA4A	WDR96
METH	WDR96
LDHA	WDR96
MK08	WDR96
IGHG4	WDR96
CP2CJ	WDR96
RXRA	WDR96
PA2GA	WDR96
CP131	WDR96
ACACB	WDR96
PTHY	WDR96
IL10	WDR96
CAH2	WDR96
OPRD	WDR96
AAPK1	WDR96
PDPK1	WDR96
ADRB3	WDR96
