source	destinations_disconnected_to
ACE	TOR3A	EFR3A	THSD4	REEP2
KAPCA	TOR3A	EFR3A	THSD4	REEP2
NTKL	TOR3A	EFR3A	THSD4	REEP2
CALM	TOR3A	EFR3A	THSD4	REEP2
ACHA4	TOR3A	EFR3A	THSD4	REEP2
ANXA2	TOR3A	EFR3A	THSD4	REEP2
AURKB	TOR3A	EFR3A	THSD4	REEP2
GNAT3	TOR3A	EFR3A	THSD4	REEP2
CA2D1	TOR3A	EFR3A	THSD4	REEP2
CAH4	TOR3A	EFR3A	THSD4	REEP2
AK1C1	TOR3A	EFR3A	THSD4	REEP2
ROCK1	TOR3A	EFR3A	THSD4	REEP2
CHLE	TOR3A	EFR3A	THSD4	REEP2
J3QK85	TOR3A	EFR3A	THSD4	REEP2
ZAP70	TOR3A	EFR3A	THSD4	REEP2
UD14	TOR3A	EFR3A	THSD4	REEP2
S12A2	TOR3A	EFR3A	THSD4	REEP2
EST1A	TOR3A	EFR3A	THSD4	REEP2
VKOR1	TOR3A	EFR3A	THSD4	REEP2
XDH	TOR3A	EFR3A	THSD4	REEP2
ACHB4	TOR3A	EFR3A	THSD4	REEP2
RLP24	TOR3A	EFR3A	THSD4	REEP2
EDN1	TOR3A	EFR3A	THSD4	REEP2
GBRB3	TOR3A	EFR3A	THSD4	REEP2
TKT	TOR3A	EFR3A	THSD4	REEP2
NEU2	TOR3A	EFR3A	THSD4	REEP2
3HAO	TOR3A	EFR3A	THSD4	REEP2
RL10L	TOR3A	EFR3A	THSD4	REEP2
ADA1D	TOR3A	EFR3A	THSD4	REEP2
CANB2	TOR3A	EFR3A	THSD4	REEP2
KAP3	TOR3A	EFR3A	THSD4	REEP2
PANX1	TOR3A	EFR3A	THSD4	REEP2
ST2A1	TOR3A	EFR3A	THSD4	REEP2
UPP2	TOR3A	EFR3A	THSD4	REEP2
AK1D1	TOR3A	EFR3A	THSD4	REEP2
CAC1A	TOR3A	EFR3A	THSD4	REEP2
CUBN	TOR3A	EFR3A	THSD4	REEP2
THA	TOR3A	EFR3A	THSD4	REEP2
TBB5	TOR3A	EFR3A	THSD4	REEP2
CATA	TOR3A	EFR3A	THSD4	REEP2
RL3	TOR3A	EFR3A	THSD4	REEP2
PA2GE	TOR3A	EFR3A	THSD4	REEP2
HRH2	TOR3A	EFR3A	THSD4	REEP2
ATTY	TOR3A	EFR3A	THSD4	REEP2
S29A2	TOR3A	EFR3A	THSD4	REEP2
GBRT	TOR3A	EFR3A	THSD4	REEP2
ACHA3	TOR3A	EFR3A	THSD4	REEP2
CDK6	TOR3A	EFR3A	THSD4	REEP2
5HT7R	TOR3A	EFR3A	THSD4	REEP2
ADRB1	TOR3A	EFR3A	THSD4	REEP2
CP11A	TOR3A	EFR3A	THSD4	REEP2
CSK	TOR3A	EFR3A	THSD4	REEP2
5HT3A	TOR3A	EFR3A	THSD4	REEP2
AT12A	TOR3A	EFR3A	THSD4	REEP2
IOD3	TOR3A	EFR3A	THSD4	REEP2
PGFRA	TOR3A	EFR3A	THSD4	REEP2
A1AG1	TOR3A	EFR3A	THSD4	REEP2
TNFA	TOR3A	EFR3A	THSD4	REEP2
NFAC2	TOR3A	EFR3A	THSD4	REEP2
NOS2	TOR3A	EFR3A	THSD4	REEP2
5HT2B	TOR3A	EFR3A	THSD4	REEP2
HS90A	TOR3A	EFR3A	THSD4	REEP2
