source	destinations_disconnected_to
ACE	LRFN3
KAPCA	LRFN3
NTKL	LRFN3
CALM	LRFN3
ACHA4	LRFN3
ANXA2	LRFN3
AURKB	LRFN3
GNAT3	LRFN3
CA2D1	LRFN3
CAH4	LRFN3
AK1C1	LRFN3
ROCK1	LRFN3
CHLE	LRFN3
J3QK85	LRFN3
ZAP70	LRFN3
UD14	LRFN3
S12A2	LRFN3
EST1A	LRFN3
VKOR1	LRFN3
XDH	LRFN3
ACHB4	LRFN3
RLP24	LRFN3
EDN1	LRFN3
GBRB3	LRFN3
TKT	LRFN3
NEU2	LRFN3
3HAO	LRFN3
RL10L	LRFN3
ADA1D	LRFN3
CANB2	LRFN3
KAP3	LRFN3
PANX1	LRFN3
ST2A1	LRFN3
UPP2	LRFN3
AK1D1	LRFN3
CAC1A	LRFN3
CUBN	LRFN3
THA	LRFN3
TBB5	LRFN3
CATA	LRFN3
RL3	LRFN3
PA2GE	LRFN3
HRH2	LRFN3
ATTY	LRFN3
S29A2	LRFN3
GBRT	LRFN3
ACHA3	LRFN3
CDK6	LRFN3
5HT7R	LRFN3
ADRB1	LRFN3
CP11A	LRFN3
CSK	LRFN3
5HT3A	LRFN3
AT12A	LRFN3
IOD3	LRFN3
PGFRA	LRFN3
A1AG1	LRFN3
TNFA	LRFN3
NFAC2	LRFN3
NOS2	LRFN3
5HT2B	LRFN3
HS90A	LRFN3
LCK	LRFN3
ADCYA	LRFN3
HS90B	LRFN3
ADA2A	LRFN3
CACP	LRFN3
RARA	LRFN3
PYC	LRFN3
CATL1	LRFN3
ACHA9	LRFN3
NH2L1	LRFN3
AAKB2	LRFN3
DCXR	LRFN3
CXCL7	LRFN3
KCNE1	LRFN3
B3GT4	LRFN3
ACES	LRFN3
SCNNG	LRFN3
HASP	LRFN3
MMP3	LRFN3
MET	LRFN3
AA2BR	LRFN3
PDE8A	LRFN3
5HT2C	LRFN3
AK1C3	LRFN3
OSTCN	LRFN3
NMD3B	LRFN3
CDK5	LRFN3
PPARA	LRFN3
DRD2	LRFN3
VGFR2	LRFN3
CP1A2	LRFN3
NGF	LRFN3
GBRA6	LRFN3
ACHA7	LRFN3
CP2C9	LRFN3
TBA1A	LRFN3
IL2RA	LRFN3
PPB1	LRFN3
PD2R	LRFN3
Q71TU5	LRFN3
DCE1	LRFN3
GBRG1	LRFN3
FGFR2	LRFN3
IMPA1	LRFN3
ACM2	LRFN3
IL8	LRFN3
5HT6R	LRFN3
KPCT	LRFN3
AOC1	LRFN3
PCNA	LRFN3
KSYK	LRFN3
CAH9	LRFN3
RL11	LRFN3
CACB3	LRFN3
HMDH	LRFN3
GBRA4	LRFN3
KIT	LRFN3
AOFA	LRFN3
NEP	LRFN3
GLYC	LRFN3
NCOA2	LRFN3
5HT1E	LRFN3
TBA4A	LRFN3
METH	LRFN3
LDHA	LRFN3
MK08	LRFN3
IGHG4	LRFN3
CP2CJ	LRFN3
RXRA	LRFN3
PA2GA	LRFN3
CP131	LRFN3
ACACB	LRFN3
PTHY	LRFN3
IL10	LRFN3
CAH2	LRFN3
OPRD	LRFN3
AAPK1	LRFN3
PDPK1	LRFN3
ADRB3	LRFN3
C11B1	LRFN3
GBRP	LRFN3
ROCK2	LRFN3
RL8	LRFN3
ADCY2	LRFN3
PHOP2	LRFN3
CAH12	LRFN3
S10A4	LRFN3
GRIK1	LRFN3
CBG	LRFN3
PRGR	LRFN3
HCAR2	LRFN3
DNMT1	LRFN3
PGH2	LRFN3
CAC1F	LRFN3
ADA2C	LRFN3
S15A1	LRFN3
ADA1A	LRFN3
A1AG2	LRFN3
OX1R	LRFN3
KCMA1	LRFN3
NMDE3	LRFN3
HIBCH	LRFN3
IPKA	LRFN3
S22AI	LRFN3
S29A1	LRFN3
HDAC1	LRFN3
PNPH	LRFN3
ADA2B	LRFN3
TRFL	LRFN3
ALBU	LRFN3
FMO3	LRFN3
PLK1	LRFN3
SGMR1	LRFN3
GUAA	LRFN3
QOR	LRFN3
GCR	LRFN3
CATD	LRFN3
MIF	LRFN3
HPGDS	LRFN3
MKNK1	LRFN3
P2RY2	LRFN3
S12A4	LRFN3
EGFR	LRFN3
NFKB1	LRFN3
PGFRB	LRFN3
ANT3	LRFN3
GTR1	LRFN3
MK10	LRFN3
CAMLG	LRFN3
HEMH	LRFN3
MTRR	LRFN3
NQO1	LRFN3
ACH10	LRFN3
FMO4	LRFN3
DRD5	LRFN3
TRY1	LRFN3
SCNAA	LRFN3
GBRG3	LRFN3
PDE8B	LRFN3
KCNA2	LRFN3
IFNA2	LRFN3
AA1R	LRFN3
MAPK2	LRFN3
PK3CD	LRFN3
HRH4	LRFN3
GBRB1	LRFN3
HCN2	LRFN3
RL26L	LRFN3
DMTA2	LRFN3
6PGD	LRFN3
GRP78	LRFN3
PSIP1	LRFN3
AT1A4	LRFN3
GLR	LRFN3
OPRK	LRFN3
ATPB	LRFN3
STMN4	LRFN3
CACB2	LRFN3
NMDZ1	LRFN3
SC6A3	LRFN3
ST2B1	LRFN3
TBG1	LRFN3
ESR1	LRFN3
CREB1	LRFN3
5HT1B	LRFN3
ERBB2	LRFN3
HDAC7	LRFN3
KCC1B	LRFN3
TBD	LRFN3
TOP2B	LRFN3
3BHS1	LRFN3
ATP4A	LRFN3
LOX5	LRFN3
UD3A1	LRFN3
BDNF	LRFN3
GBRA1	LRFN3
FOS	LRFN3
SHBG	LRFN3
ODP2	LRFN3
ABCA1	LRFN3
DYR	LRFN3
P85A	LRFN3
SIR1	LRFN3
MTHR	LRFN3
ADCL2	LRFN3
IBP3	LRFN3
DDR1	LRFN3
CP46A	LRFN3
SCN2A	LRFN3
IL4	LRFN3
NPS	LRFN3
NMDE1	LRFN3
AOFB	LRFN3
RL13A	LRFN3
S22A2	LRFN3
CALY	LRFN3
S12A5	LRFN3
PK3CA	LRFN3
PDE4D	LRFN3
KIF11	LRFN3
NR1I2	LRFN3
NISCH	LRFN3
NFKB2	LRFN3
ITK	LRFN3
PPIA	LRFN3
MMAA	LRFN3
PA24A	LRFN3
HYES	LRFN3
CP2C8	LRFN3
CAC1D	LRFN3
SCNNA	LRFN3
DRD3	LRFN3
IOD1	LRFN3
AAKB1	LRFN3
ARY2	LRFN3
DOPO	LRFN3
PDE3A	LRFN3
TR10B	LRFN3
ADA1B	LRFN3
C9JK77	LRFN3
MYLK3	LRFN3
PDE1B	LRFN3
MYH9	LRFN3
TRI15	LRFN3
HPRT	LRFN3
ADRB2	LRFN3
LIPL	LRFN3
MDR1	LRFN3
5HT1A	LRFN3
CP19A	LRFN3
ARY1	LRFN3
5HT2A	LRFN3
G6PD	LRFN3
PYRD	LRFN3
GBRB2	LRFN3
IKBA	LRFN3
THRB	LRFN3
GPX1	LRFN3
TNNC2	LRFN3
S22AB	LRFN3
PDE5A	LRFN3
TGFB1	LRFN3
TOP2A	LRFN3
RL23	LRFN3
PDK3	LRFN3
EDNRA	LRFN3
TF65	LRFN3
KAP0	LRFN3
PPIF	LRFN3
RL15	LRFN3
KCNH2	LRFN3
PDE4C	LRFN3
ABCC8	LRFN3
J3KPA4	LRFN3
HDAC8	LRFN3
GBRD	LRFN3
CCKN	LRFN3
ADCY5	LRFN3
ATPA	LRFN3
ATPG	LRFN3
CAC1G	LRFN3
LDHB	LRFN3
JUN	LRFN3
CSF1R	LRFN3
UD19	LRFN3
ATF6A	LRFN3
RL19	LRFN3
ST17B	LRFN3
ABL1	LRFN3
PHOP1	LRFN3
SC6A4	LRFN3
S22A6	LRFN3
GRIK2	LRFN3
ACM3	LRFN3
RYR1	LRFN3
S23IP	LRFN3
CRBN	LRFN3
MUTA	LRFN3
ARGI1	LRFN3
AA3R	LRFN3
GBRA5	LRFN3
CAH6	LRFN3
FAK1	LRFN3
SCNND	LRFN3
CASP8	LRFN3
SYRC	LRFN3
CP3A4	LRFN3
A4	LRFN3
MRP1	LRFN3
KCNN4	LRFN3
PDE7A	LRFN3
SCN4A	LRFN3
CACB1	LRFN3
DHI1	LRFN3
PDIA1	LRFN3
LRP2	LRFN3
ESR2	LRFN3
SCNNB	LRFN3
NMDE4	LRFN3
TY3H	LRFN3
SOAT1	LRFN3
NMD3A	LRFN3
ASM	LRFN3
S12A1	LRFN3
CP1A1	LRFN3
INSR2	LRFN3
NCOA1	LRFN3
TBE	LRFN3
ITAL	LRFN3
PPARG	LRFN3
GSK3B	LRFN3
CAC1I	LRFN3
THB	LRFN3
KLK3	LRFN3
GBRA2	LRFN3
TBB4B	LRFN3
DRD4	LRFN3
CLIC1	LRFN3
GBRE	LRFN3
RHOA	LRFN3
TERT	LRFN3
RL23A	LRFN3
KITH	LRFN3
HIF1A	LRFN3
TEBP	LRFN3
PERM	LRFN3
TYSY	LRFN3
PAR10	LRFN3
NNMT	LRFN3
RARB	LRFN3
PK3CG	LRFN3
CAC1C	LRFN3
PLPL9	LRFN3
OPRM	LRFN3
PLMN	LRFN3
ADA	LRFN3
TNNC1	LRFN3
J3KN87	LRFN3
GBRG2	LRFN3
FAD1	LRFN3
PDE1A	LRFN3
GLUC	LRFN3
EST1	LRFN3
P2RX2	LRFN3
NOS3	LRFN3
GSTP1	LRFN3
CAH7	LRFN3
IL6	LRFN3
UD13	LRFN3
PDE4A	LRFN3
CBPB2	LRFN3
KCJ11	LRFN3
SCN5A	LRFN3
CP21A	LRFN3
CFTR	LRFN3
ACM1	LRFN3
GRIA2	LRFN3
CPT2	LRFN3
COMT	LRFN3
P53	LRFN3
CNGA1	LRFN3
HDAC9	LRFN3
KCNQ1	LRFN3
PGH1	LRFN3
CP2R1	LRFN3
CAC1H	LRFN3
CAB45	LRFN3
CDK2	LRFN3
SC6A2	LRFN3
AK1C2	LRFN3
CA2D2	LRFN3
S22A8	LRFN3
EBP	LRFN3
NADC	LRFN3
5HT5A	LRFN3
AHR	LRFN3
HDAC6	LRFN3
MRP2	LRFN3
PDE4B	LRFN3
AA2AR	LRFN3
PDE7B	LRFN3
FAK2	LRFN3
CASP3	LRFN3
CATB	LRFN3
CAC1S	LRFN3
TA2R	LRFN3
TPMT	LRFN3
5HT1D	LRFN3
PIM1	LRFN3
AT1A1	LRFN3
MMP9	LRFN3
RL37	LRFN3
PARP1	LRFN3
RENR	LRFN3
ENPL	LRFN3
NR1I3	LRFN3
CAH1	LRFN3
SL9A7	LRFN3
ACM4	LRFN3
TOP1	LRFN3
DHB8	LRFN3
FABP6	LRFN3
GABR1	LRFN3
LY66C	LRFN3
GLNA	LRFN3
SCN1A	LRFN3
HDAC3	LRFN3
RENI	LRFN3
